id,empid,year_of_joining,learner_code,institution_code,department_code,designation_code
1,45573,2021,257,30,6,2
2,30600,2015,890,38,8,1
3,31328,2016,165,4,5,5
4,12676,2022,92,20,2,4
5,64025,2018,70,11,3,2
6,74124,2020,617,15,10,5
7,96079,2020,780,16,7,5
8,22635,2015,182,5,10,3
9,3839,2015,943,13,15,5
10,30277,2019,976,3,2,5
11,56327,2021,117,2,5,3
12,33770,2015,175,29,2,1
13,73697,2022,279,49,14,1
14,96022,2019,833,36,13,2
15,68545,2019,366,1,4,3
16,10264,2022,566,43,11,2
17,14580,2021,904,30,11,5
18,62290,2018,308,50,4,3
19,66403,2020,866,6,12,3
20,98420,2017,659,38,1,5
21,36641,2022,566,35,1,4
22,55735,2019,44,8,17,3
23,34149,2021,940,7,4,2
24,48092,2017,340,9,5,5
25,29593,2019,726,36,10,5
26,43596,2016,852,42,11,5
27,63429,2015,956,2,8,3
28,4358,2021,818,19,11,3
29,80643,2019,974,20,7,4
30,63688,2016,631,14,8,3
31,18417,2015,320,38,15,4
32,2896,2022,892,9,20,1
33,69911,2017,752,23,2,1
34,89602,2017,303,38,19,1
35,93661,2021,773,5,9,2
36,76973,2015,316,12,12,1
37,1341,2021,879,44,7,2
38,52031,2021,173,39,20,1
39,44868,2022,966,39,7,1
40,4083,2015,723,49,15,2
41,17469,2022,316,3,9,4
42,43166,2016,999,9,2,1
43,60690,2016,887,42,1,1
44,64573,2022,925,14,6,4
45,33746,2021,300,3,2,3
46,91213,2021,740,32,20,4
47,15992,2021,873,42,8,5
48,67860,2017,641,25,19,2
49,87248,2022,323,47,7,1
50,88431,2018,601,21,4,3
51,63995,2021,977,26,19,3
52,54560,2019,753,44,15,3
53,49359,2016,838,50,14,4
54,17307,2017,550,12,13,2
55,93001,2019,929,31,18,1
56,19987,2016,339,11,15,4
57,6108,2020,530,33,2,5
58,57428,2022,485,30,3,4
59,78163,2018,914,22,4,5
60,46538,2021,384,32,16,4
61,51151,2020,701,14,6,2
62,56579,2017,584,4,11,1
63,95477,2019,9,31,11,4
64,22105,2017,11,50,14,2
65,59132,2019,80,44,17,2
66,68838,2019,567,20,13,4
67,41932,2022,858,42,4,1
68,65225,2020,194,43,20,2
69,54184,2015,535,3,6,1
70,14081,2022,369,22,2,4
71,75226,2022,249,48,20,5
72,19708,2021,520,44,15,3
73,61502,2016,551,4,20,5
74,47953,2021,870,35,14,2
75,99849,2018,117,30,5,5
76,28214,2019,183,25,5,4
77,88138,2017,938,12,18,2
78,43860,2018,761,38,10,1
79,6585,2016,282,4,14,1
80,22132,2021,841,1,17,3
81,36266,2019,345,40,10,2
82,33730,2020,292,13,9,2
83,31049,2021,829,43,13,1
84,58516,2018,629,37,9,2
85,18573,2022,509,42,2,2
86,58449,2019,331,2,15,1
87,83777,2016,332,20,7,5
88,43132,2019,140,3,7,5
89,11502,2022,675,27,16,3
90,49065,2022,430,37,8,2
91,62392,2022,668,42,5,3
92,79642,2022,246,41,9,4
93,63296,2019,248,44,3,4
94,98120,2017,76,6,16,2
95,11529,2021,612,25,14,4
96,95664,2016,396,3,8,2
97,8981,2019,832,7,19,4
98,59845,2020,905,27,16,4
99,61025,2020,338,37,1,5
100,30210,2021,403,43,4,3
