id,learner_code,program_requirement_code,value
1,934,10,Thing ten voice teacher ask spend minute.
2,747,5,Right drop back month write and station.
3,105,1,Central stop as ask.
4,842,1,Place here organization admit.
5,6,7,Kind window participant represent if opportunity.
6,753,4,Hospital management enter wonder effort more.
7,360,6,Yard whom speak friend outside join world.
8,553,9,Law political hear interest also.
9,182,2,Manager detail staff fill plan.
10,192,7,Majority left during role must outside.
11,943,1,Raise guess minute speak this buy.
12,728,10,Federal family live.
13,713,10,Cultural boy sense early.
14,443,8,Page report every quite general support expect.
15,283,1,Economic out can feeling stuff century.
16,67,3,Morning thus affect have.
17,963,6,How main month picture majority next.
18,306,8,Story sense someone your east call we.
19,36,1,Word recognize term PM become seek important.
20,567,8,Box able wish former paper consumer side.
21,715,8,Safe town against.
22,986,6,Life will fly turn energy walk.
23,59,10,Kind development contain miss whatever line.
24,581,6,Enjoy answer morning region pay role.
25,253,1,Give possible family attention.
26,925,4,Energy little wife world continue.
27,827,10,Financial full challenge million heavy once not.
28,288,8,Response form debate across according fly claim.
29,773,4,Throw its trial move task.
30,136,10,Stuff score skin argue. Tell lawyer officer.
31,525,3,State note moment receive smile government.
32,384,10,Style mouth skin thing color recent middle.
33,501,10,Low look imagine goal.
34,185,9,Professional strong need same scene wide sure.
35,230,1,Bill but language.
36,495,1,Street church program that sister.
37,218,9,Grow realize PM eye early doctor bed.
38,923,8,Popular against continue push.
39,880,10,Likely music modern card memory.
40,872,1,Smile federal evidence return who must say.
41,172,2,Vote cover course network collection.
42,72,6,Eight each of. Every might leader exist fly.
43,75,5,Generation at audience almost.
44,326,10,Last fish share put these parent.
45,87,9,Knowledge there mission surface ago develop.
46,737,6,Air three perform.
47,748,6,Safe difference central meeting give front.
48,598,10,Find water and study season amount job suggest.
49,450,8,Nothing arrive customer event.
50,907,10,Director budget billion.
51,166,2,Necessary him trial because former.
52,203,2,Your every nature community sing eat.
53,851,2,Senior show late. Expect lead word executive.
54,790,3,Article less never local accept.
55,834,8,Hold true board color. Often from during.
56,752,9,Benefit amount least common.
57,649,4,Similar drive station world.
58,461,9,Assume spring law skill model series piece.
59,688,3,Break quality lead security sister couple.
60,138,7,Management after memory forget.
61,624,5,Protect thank compare. Reveal past natural.
62,531,8,Good true around on daughter according action.
63,580,1,Leg picture list car born.
64,683,2,Full quickly local those trouble.
65,179,1,Each agreement policy.
66,943,5,Score nation teacher.
67,253,1,Bed my yeah quickly measure keep entire.
68,770,10,Situation herself next nation kitchen high.
69,590,8,Yet sometimes book book experience reduce less.
70,866,9,Catch sister suggest unit age strategy save help.
71,527,3,Congress lawyer those hear movement.
72,324,5,Every particularly unit behind.
73,779,6,Option too never human store.
74,243,6,Them message world top stuff minute month.
75,815,10,Animal by history way.
76,795,3,Right real include continue study college.
77,470,4,Though price system they manage.
78,999,4,Role team power how perhaps work.
79,826,5,Time make everything final.
80,138,10,North officer successful you. As fill street.
81,541,4,Thing become color must if prevent.
82,690,1,Right social change wall.
83,460,6,Support white none lot clearly daughter artist.
84,11,2,Water east small east night.
85,942,5,Debate provide others.
86,823,10,Agree gas step side reality.
87,84,4,Sport end bank number. Money rule so investment.
88,65,7,Specific season fact occur form.
89,930,3,Ago actually sport animal tough dinner figure.
90,959,7,Treatment money authority from.
91,19,6,Toward health tonight attack compare computer.
92,220,4,Truth me authority most.
93,980,1,May street others various tree maybe.
94,75,1,Line financial tree wide evidence.
95,90,5,Whom near remain actually.
96,940,3,Rest yet contain player near above important.
97,3,1,What threat rich thousand bit box.
98,370,6,Dark summer describe million reflect.
99,554,5,Health agree several would.
100,808,9,Worker send message gun.
