id,name,info,knowledge_partner_code
1,Program 1,"Their lose wife. Enter treat you affect.
Production white nice collection budget responsibility. Beyond want stage start.
They hair structure why. Local truth cup spend.",5
2,Program 2,"Best power baby their group. Home strategy list event people media.
Seem indeed during need. Figure firm environmental sell carry environment.",9
3,Program 3,"Manage key unit cold appear word strategy add. Where radio social compare. Up standard say form important line.
Factor no face wind cut responsibility.",1
4,Program 4,Exist far season couple wish national. Field window former prevent. Age spend maintain mind whose response question.,9
5,Program 5,"Once last job until occur.
Chair industry and deep choose such purpose. Environment reduce bed serve. Most mention project bad reach who picture. Race trouble enjoy power.",10
6,Program 6,Foreign interest across its risk travel. Like lose tree. Congress reduce who discover player.,9
7,Program 7,Traditional to many evidence not why hold. Fill sound sign south game society. Have prevent car pressure serve.,5
8,Program 8,Policy goal often social project nature teach compare. Surface partner buy return. Southern responsibility property whom particularly.,6
9,Program 9,Blood sit single science church number professional. Financial happy long marriage. Light institution commercial.,2
10,Program 10,"Example it military. You likely up itself one begin future. Break card view meet cover evening prepare.
Land rock share something speech range. Law own hundred claim.",6
