id,name,info,knowledge_partner_code
1,Specialization 1,"Reveal decision bag identify store. Investment your increase will special. Activity clear despite.
The task because. Various bill radio night doctor property remember.",7
2,Specialization 2,"Small response area save day box sound. To other sure. Yes writer exactly trade.
Employee interview risk exist evidence nor.
Production smile position us plant. Wind raise section name.",7
3,Specialization 3,Memory letter yes check. Lay get finish which parent. Check do politics guess voice model.,9
4,Specialization 4,"Service line artist thus expect education onto. Hotel former somebody that town. Part garden charge it what.
Gun let training industry. Away area identify another for. Effort spend industry design.",3
5,Specialization 5,"Job study worry certainly appear. Realize long you green ability choose care.
Game speak film three off. Political wrong front break compare experience simply.",10
6,Specialization 6,Policy dog person military. Only clear up upon wrong station. Training between cold yeah unit.,10
7,Specialization 7,"House cause month into although. Have policy together choice bar. Radio reduce have structure.
Walk opportunity night range. Allow police course start.",9
8,Specialization 8,"Gas seat husband mind cut. Eye doctor face which member answer after. Wrong attack number reach glass small room.
Training century culture affect attack. Affect away better account hold.",5
9,Specialization 9,"Price per idea. Son else they collection know. Plant goal because free.
Foot peace seek make.",2
10,Specialization 10,"Agent other policy sense. Pressure voice edge letter when trial dinner.
Brother amount forward. Whether include seem class many. Forward company be but pick price.",6
