id,name,type
1,Management Department 1,corporate
2,Electronics Department 2,government
3,Physics Department 3,corporate
4,Physics Department 4,corporate
5,Electronics Department 5,corporate
6,Electronics Department 6,academic
7,English Department 7,government
8,Mechanical Department 8,academic
9,Physics Department 9,corporate
10,Mathematics Department 10,academic
11,Chemistry Department 11,academic
12,Management Department 12,academic
13,Electronics Department 13,government
14,Chemistry Department 14,academic
15,Electronics Department 15,government
16,Electronics Department 16,academic
17,Electronics Department 17,academic
18,Mechanical Department 18,academic
19,Electronics Department 19,corporate
20,English Department 20,government
