id,name,code,state_code
1,Gardnerfurt,DT001,23
2,Justinfort,DT002,16
3,Nelsonville,DT003,1
4,Gregoryberg,DT004,17
5,Port Dawnbury,DT005,26
6,South Theresa,DT006,14
7,Port Brianchester,DT007,25
8,Kaylaport,DT008,12
9,New Carlymouth,DT009,4
10,New Brandonside,DT010,10
11,Walkerchester,DT011,22
12,Aguirreborough,DT012,13
13,East Kevinbury,DT013,30
14,North Leslie,DT014,23
15,Garrettbury,DT015,2
16,Davidland,DT016,23
17,Brendamouth,DT017,17
18,Elizabethchester,DT018,30
19,Port Sherry,DT019,9
20,Allenbury,DT020,12
21,Mcdonaldfort,DT021,20
22,South Luis,DT022,26
23,Lake Victoria,DT023,27
24,Boyerstad,DT024,27
25,North Cathyfurt,DT025,23
26,West Johntown,DT026,28
27,Lake Robertchester,DT027,22
28,North Nicholas,DT028,16
29,Port James,DT029,3
30,Port Joshua,DT030,25
31,West William,DT031,18
32,Gonzalezview,DT032,1
33,South Caleb,DT033,18
34,Martinezborough,DT034,8
35,Scottstad,DT035,8
36,Port Sylviaside,DT036,19
37,Robinsonhaven,DT037,10
38,Angelaville,DT038,16
39,Shawstad,DT039,13
40,North Michael,DT040,30
41,New Sandra,DT041,17
42,East Jacob,DT042,15
43,Lake Thomasview,DT043,8
44,Zamoramouth,DT044,15
45,Lake Brianview,DT045,19
46,New Jamesborough,DT046,20
47,Riveratown,DT047,14
48,Angelahaven,DT048,9
49,Smithport,DT049,15
50,Michaelshire,DT050,16
51,West Erinmouth,DT051,22
52,North Joshua,DT052,16
53,West Evan,DT053,6
54,North Ericbury,DT054,7
55,New Brooke,DT055,20
56,Taylorchester,DT056,5
57,Tylerburgh,DT057,29
58,Georgefurt,DT058,3
59,Port Thomasfurt,DT059,22
60,Barnesmouth,DT060,4
61,New Jessicaton,DT061,27
62,Jonesport,DT062,17
63,Richardmouth,DT063,22
64,Heathershire,DT064,25
65,Adamchester,DT065,7
66,Breannamouth,DT066,29
67,East Nichole,DT067,5
68,Keithchester,DT068,29
69,East Tammyberg,DT069,16
70,Port Henryberg,DT070,8
71,New Stephanie,DT071,6
72,Alexandriastad,DT072,25
73,Colemanton,DT073,8
74,Martinton,DT074,21
75,Marshalltown,DT075,11
76,Sheliahaven,DT076,22
77,North Thomas,DT077,28
78,Oliverstad,DT078,29
79,Jameshaven,DT079,9
80,New Ericville,DT080,16
81,Kyleport,DT081,17
82,Lake Marcia,DT082,26
83,Clarkmouth,DT083,15
84,New Justinburgh,DT084,9
85,North Josephchester,DT085,23
86,South Heidifurt,DT086,22
87,Angelaside,DT087,6
88,South Rickshire,DT088,17
89,Douglasberg,DT089,16
90,Nicolemouth,DT090,19
91,Crystalville,DT091,23
92,New Andrew,DT092,30
93,Tiffanyhaven,DT093,12
94,Ashleyview,DT094,7
95,Port Jefferyberg,DT095,27
96,North Nancyhaven,DT096,27
97,Allenhaven,DT097,6
98,North Mitchellborough,DT098,20
99,Amandaton,DT099,26
100,West Charles,DT100,10
