id,name,short_name,aicte_code,eamcet_code,l4g_code,l4g_group_code,type,address,website,latlong,district_code
1,Hall PLC Institution of Technology,IIT01,AICTE00001,EAMCET0001,L4G000001,GRP001,Affiliated College,"705 Woods Mount
Kennethmouth, NE 07302",http://gutierrez.net/,"36.183524,-126.414422",71
2,Butler Inc Institution of Technology,IIT02,AICTE00002,EAMCET0002,L4G000002,GRP002,Private University-State,"042 Vickie Ramp
Andrewside, IN 64264",https://cole.info/,"-89.499205,118.620961",43
3,"Joseph, Pugh and Brooks Institution of Technology",IIT03,AICTE00003,EAMCET0003,L4G000003,GRP003,Unknown,"5295 Marcia Spurs
Kimberlyland, PR 42986",http://www.shelton.com/,"-88.9848075,-114.853575",73
4,Buchanan LLC Institution of Technology,IIT04,AICTE00004,EAMCET0004,L4G000004,GRP004,Private University-State,"Unit 3156 Box 4811
DPO AA 55255",http://www.webster-williams.org/,"71.0204055,17.878695",24
5,"Turner, Ponce and Duffy Institution of Technology",IIT05,AICTE00005,EAMCET0005,L4G000005,GRP005,Public University,"71984 Heather Courts
Brittanyhaven, OH 38855",http://dunn.com/,"-55.4611905,126.278197",48
6,"Mcknight, Sawyer and Smith Institution of Technology",IIT06,AICTE00006,EAMCET0006,L4G000006,GRP006,Private University-Deemed to be,"0763 Elizabeth Roads
Nicholasmouth, PA 84680",http://jones.com/,"52.4890565,-47.667398",78
7,Jones-Porter Institution of Technology,IIT07,AICTE00007,EAMCET0007,L4G000007,GRP007,Private University-State,"90023 David Isle
Michaelchester, MP 34049",https://www.smith.com/,"-23.560188,-90.996438",28
8,Rice and Sons Institution of Technology,IIT08,AICTE00008,EAMCET0008,L4G000008,GRP008,Unknown,"USS Johnson
FPO AE 55554",http://www.dalton-brooks.com/,"18.6935225,132.360484",52
9,"Allen, Elliott and Wilkinson Institution of Technology",IIT09,AICTE00009,EAMCET0009,L4G000009,GRP009,Autonomous College,"25226 Emma Corner
Lake Dawnstad, PA 82189",https://www.jackson.com/,"83.4169645,117.486786",55
10,"Shepard, Hughes and Alvarez Institution of Technology",IIT10,AICTE00010,EAMCET0010,L4G000010,GRP010,Unknown,"3006 Jeremy Ramp
Crawfordborough, PR 85823",https://www.tucker-jones.com/,"53.307797,170.271027",25
11,"Conrad, Perez and Kim Institution of Technology",IIT11,AICTE00011,EAMCET0011,L4G000011,GRP011,Private University-Deemed to be,"376 Michelle Village Suite 597
East Cynthiashire, MH 35124",http://www.graham-harmon.com/,"-13.814857,4.793757",24
12,Miller-Page Institution of Technology,IIT12,AICTE00012,EAMCET0012,L4G000012,GRP012,Unknown,"6499 Paul Throughway
East Frank, CA 11788",http://holmes.com/,"-30.114390,-94.108127",26
13,Carter Ltd Institution of Technology,IIT13,AICTE00013,EAMCET0013,L4G000013,GRP013,Private University-Deemed to be,"8713 Barr Summit
West Amyberg, RI 67644",https://www.holden.com/,"-13.3779025,-3.237946",73
14,Jones Ltd Institution of Technology,IIT14,AICTE00014,EAMCET0014,L4G000014,GRP014,Unknown,"005 Thomas Passage
Crawfordtown, VA 72025",https://anderson-brown.com/,"53.2774495,82.248791",36
15,Miller Inc Institution of Technology,IIT15,AICTE00015,EAMCET0015,L4G000015,GRP015,Private University-State,"923 Brown Knolls Suite 988
Denisemouth, MN 29094",https://becker.info/,"-47.7940075,-50.551577",97
16,Suarez-Reed Institution of Technology,IIT16,AICTE00016,EAMCET0016,L4G000016,GRP016,Private University-State,"506 Bush Wall Suite 226
East Tamaramouth, KS 47325",https://beltran.com/,"-2.503156,-150.681611",82
17,Williams-Johnson Institution of Technology,IIT17,AICTE00017,EAMCET0017,L4G000017,GRP017,Public University,"1209 Courtney Expressway
Smalltown, OR 89253",https://www.brown-mullins.com/,"-49.2713665,67.912342",44
18,Green-Williams Institution of Technology,IIT18,AICTE00018,EAMCET0018,L4G000018,GRP018,Public University,"0137 Brittany Vista Apt. 158
Floresshire, NM 89638",http://bray.biz/,"37.264209,164.494689",77
19,Adams-Acevedo Institution of Technology,IIT19,AICTE00019,EAMCET0019,L4G000019,GRP019,Affiliated College,"614 Holmes Turnpike Suite 130
Kerrview, TX 93733",http://shelton.com/,"21.097888,-162.349138",58
20,"Johnson, Knight and Sherman Institution of Technology",IIT20,AICTE00020,EAMCET0020,L4G000020,GRP020,Autonomous College,"USNS Wood
FPO AA 04226",http://anderson.com/,"-37.395341,-105.080123",91
21,Ibarra Ltd Institution of Technology,IIT21,AICTE00021,EAMCET0021,L4G000021,GRP021,Unknown,"451 Moyer Knoll Suite 848
West Ariel, RI 18478",https://www.brown-smith.org/,"75.325747,-13.436512",89
22,Phillips-Craig Institution of Technology,IIT22,AICTE00022,EAMCET0022,L4G000022,GRP022,Public University,"200 Rivera Circle Apt. 163
New Jamesberg, KS 85460",https://mccarty.info/,"-46.613246,-97.804366",61
23,Cole and Sons Institution of Technology,IIT23,AICTE00023,EAMCET0023,L4G000023,GRP023,Private University-Deemed to be,"54864 Sandra Flat
Brooksville, MO 35064",http://hopkins.com/,"-29.1624475,16.862148",76
24,Bartlett-Steele Institution of Technology,IIT24,AICTE00024,EAMCET0024,L4G000024,GRP024,Private University-Deemed to be,"63879 Todd Well Suite 493
New Julie, IL 72244",https://www.lindsey.com/,"-71.0811975,-94.134398",49
