id,rollno,year_of_joining,year_of_graduation,learner_code,institution_code,branch_code
1,"66['A', 'z', 'o']676",2022,2026,610,47,8
2,"73['J', 'n', 'n']490",2021,2025,317,2,20
3,"77['K', 'k', 'F']21",2016,2020,671,49,25
4,"88['m', 'U', 'g']663",2017,2021,994,5,29
5,"89['k', 'Q', 'i']691",2019,2023,251,15,7
6,"56['R', 'O', 'k']56",2015,2019,832,21,38
7,"15['h', 'x', 'q']646",2021,2025,305,13,14
8,"27['d', 'S', 'G']897",2022,2026,60,19,36
9,"42['S', 'w', 'b']229",2016,2020,665,25,2
10,"54['p', 'x', 'i']632",2022,2026,503,29,23
11,"60['f', 'V', 's']763",2022,2026,957,48,31
12,"72['n', 'D', 'q']549",2017,2021,690,47,37
13,"92['R', 'F', 'P']152",2021,2025,125,47,30
14,"50['X', 'Q', 's']537",2016,2020,315,12,34
15,"33['p', 'W', 'q']988",2015,2019,761,50,13
16,"18['C', 'p', 'V']100",2021,2025,48,10,32
17,"16['p', 'w', 'o']632",2017,2021,63,12,23
18,"71['W', 'm', 'c']15",2019,2023,438,33,16
19,"67['m', 'h', 'J']801",2020,2024,432,41,11
20,"28['V', 'L', 'T']52",2018,2022,808,45,24
21,"98['U', 'J', 'L']337",2018,2022,946,24,34
22,"25['e', 'b', 'Y']816",2019,2023,207,24,37
23,"16['u', 'g', 'N']379",2018,2022,1,32,22
24,"6['M', 'f', 'j']764",2018,2022,55,1,16
25,"60['G', 'j', 'n']79",2016,2020,725,37,18
26,"34['D', 'P', 'o']591",2020,2024,348,13,40
27,"21['w', 'l', 'c']719",2018,2022,717,5,36
28,"14['Z', 'S', 'g']583",2020,2024,588,11,40
29,"91['b', 'U', 't']375",2017,2021,152,20,38
30,"45['N', 'Q', 'z']40",2019,2023,868,24,34
31,"81['g', 'N', 'K']973",2019,2023,873,47,18
32,"51['H', 'g', 'J']877",2019,2023,842,10,9
33,"43['z', 'm', 'U']138",2020,2024,280,2,26
34,"73['M', 'c', 'D']938",2015,2019,873,12,35
35,"55['H', 'V', 'v']957",2020,2024,96,8,39
36,"95['D', 'u', 'B']841",2017,2021,235,24,32
37,"75['m', 'u', 'F']270",2020,2024,871,24,7
38,"57['Z', 'r', 'p']318",2017,2021,323,20,1
39,"93['P', 'P', 'l']341",2015,2019,804,45,2
40,"31['F', 'r', 'v']526",2017,2021,267,22,21
41,"23['w', 's', 'S']529",2021,2025,699,13,20
42,"27['g', 'L', 'H']105",2016,2020,706,19,12
43,"27['I', 'U', 'v']188",2016,2020,392,22,27
44,"33['L', 'E', 'E']801",2015,2019,315,13,3
45,"51['h', 'e', 'k']943",2019,2023,898,43,11
46,"11['z', 'f', 'q']580",2018,2022,854,44,35
47,"87['J', 'j', 'h']728",2017,2021,983,45,35
48,"83['a', 'c', 'J']542",2015,2019,460,29,19
49,"54['i', 'A', 'L']941",2018,2022,776,17,13
50,"70['b', 'F', 'x']166",2022,2026,511,1,33
51,"96['X', 'I', 'B']822",2015,2019,647,44,13
52,"1['B', 'U', 'r']31",2015,2019,71,37,32
53,"52['y', 'q', 'u']126",2021,2025,647,48,35
54,"16['c', 'y', 'q']380",2019,2023,887,37,40
55,"82['j', 'a', 'Z']602",2018,2022,670,36,33
56,"5['U', 'D', 'U']335",2021,2025,673,15,23
57,"96['v', 'P', 'c']831",2020,2024,719,12,18
58,"99['E', 'Z', 'o']424",2018,2022,706,15,38
59,"31['k', 'j', 'H']607",2016,2020,608,27,26
60,"42['l', 'y', 'O']79",2016,2020,446,3,3
61,"64['i', 'O', 'x']600",2020,2024,89,46,17
62,"84['k', 'b', 'f']205",2022,2026,657,23,7
63,"85['U', 'F', 'b']126",2018,2022,478,16,34
64,"18['x', 'B', 'a']44",2016,2020,793,10,31
65,"74['h', 'L', 'A']341",2015,2019,44,50,8
66,"52['z', 'Y', 'F']528",2016,2020,757,18,4
67,"17['E', 'i', 'E']573",2017,2021,431,47,15
68,"84['a', 'n', 'q']367",2015,2019,476,13,7
69,"7['Z', 'n', 'r']732",2020,2024,530,8,4
70,"29['e', 'W', 'l']278",2020,2024,776,48,22
71,"90['R', 'u', 'i']448",2016,2020,660,24,38
72,"17['j', 'd', 'q']880",2019,2023,752,37,32
73,"30['S', 'S', 'X']58",2022,2026,501,14,4
74,"61['A', 'H', 'U']931",2016,2020,640,8,6
75,"20['T', 'B', 's']597",2017,2021,866,44,34
76,"18['x', 'N', 'k']857",2018,2022,9,12,3
77,"81['T', 's', 'r']403",2021,2025,285,13,17
78,"19['l', 'P', 't']72",2015,2019,870,16,25
79,"96['T', 'V', 'v']183",2020,2024,937,21,3
80,"10['m', 'v', 'N']111",2019,2023,303,5,7
81,"67['o', 'S', 'n']504",2019,2023,365,29,23
82,"14['k', 'q', 'N']294",2020,2024,763,40,22
83,"92['H', 'c', 'c']415",2021,2025,600,10,24
84,"76['q', 'X', 'y']774",2021,2025,416,21,23
85,"0['A', 'E', 't']236",2019,2023,12,49,27
86,"12['A', 'v', 'E']199",2016,2020,557,32,30
87,"32['h', 'z', 'c']65",2021,2025,272,24,38
88,"43['I', 'k', 'a']221",2019,2023,860,3,35
89,"78['x', 'Q', 'Z']619",2022,2026,391,31,17
90,"1['a', 'c', 'B']537",2022,2026,581,47,6
91,"37['r', 'A', 'I']866",2016,2020,190,41,29
92,"2['A', 'c', 'b']478",2017,2021,584,3,7
93,"43['S', 'm', 'p']381",2016,2020,115,20,35
94,"24['r', 'o', 'z']807",2020,2024,199,40,27
95,"48['P', 'q', 'Y']368",2017,2021,420,11,13
96,"42['U', 'O', 'T']179",2021,2025,967,21,15
97,"88['G', 'g', 'd']676",2016,2020,656,12,32
98,"11['o', 'f', 'E']883",2022,2026,939,42,40
99,"47['e', 'P', 'F']631",2021,2025,441,23,15
100,"54['d', 'o', 'p']768",2015,2019,978,1,22
101,"73['t', 'j', 'h']392",2019,2023,35,38,12
102,"81['r', 'z', 'K']790",2021,2025,644,3,16
103,"8['x', 'b', 'V']52",2019,2023,627,9,26
104,"13['x', 'R', 'j']447",2020,2024,492,3,27
105,"8['M', 'd', 'k']817",2019,2023,286,21,21
106,"86['r', 'b', 'S']303",2016,2020,618,4,40
107,"95['k', 's', 'i']996",2019,2023,173,45,31
108,"49['D', 'S', 'K']857",2017,2021,673,2,29
109,"86['y', 'a', 'L']668",2016,2020,884,45,29
110,"29['w', 'A', 'o']795",2022,2026,12,14,39
111,"83['x', 's', 'T']382",2020,2024,985,14,5
112,"55['c', 'n', 'I']161",2016,2020,316,11,31
113,"96['G', 'x', 'e']395",2021,2025,165,8,23
114,"71['o', 'W', 'o']632",2017,2021,781,25,40
115,"9['j', 'O', 's']364",2020,2024,255,23,39
116,"75['Y', 'U', 'Q']284",2020,2024,96,18,31
117,"74['f', 'U', 'F']26",2018,2022,669,37,25
118,"59['H', 'Q', 'f']775",2019,2023,211,32,34
119,"96['o', 'W', 'v']281",2022,2026,709,11,7
120,"23['p', 'M', 'i']59",2019,2023,835,35,17
121,"52['G', 'f', 'p']780",2016,2020,935,16,16
122,"23['Q', 'h', 'N']122",2016,2020,619,10,29
123,"60['t', 'W', 'O']726",2015,2019,755,44,28
124,"33['w', 'h', 'T']520",2018,2022,150,26,32
125,"97['R', 'k', 'F']250",2018,2022,555,8,35
126,"94['F', 'x', 'Y']247",2015,2019,566,43,30
127,"0['l', 'J', 'n']42",2022,2026,954,8,27
128,"22['V', 'Q', 'W']763",2019,2023,799,44,12
129,"8['f', 'P', 'B']525",2022,2026,555,40,28
130,"95['g', 'V', 'u']331",2021,2025,321,14,37
131,"35['e', 's', 'a']347",2021,2025,372,44,20
132,"20['L', 'K', 'T']609",2022,2026,827,32,29
133,"93['Q', 'n', 'L']271",2021,2025,888,27,17
134,"84['z', 'A', 'X']971",2015,2019,675,5,2
135,"25['C', 'l', 'v']348",2021,2025,242,1,39
136,"23['L', 'G', 'g']198",2017,2021,662,17,1
137,"56['O', 'c', 'P']455",2017,2021,436,3,30
138,"65['j', 'a', 'd']647",2017,2021,939,15,31
139,"71['O', 'q', 'W']47",2019,2023,939,12,38
140,"56['c', 'u', 'w']669",2020,2024,860,48,4
141,"72['U', 'B', 'o']915",2021,2025,127,19,22
142,"56['r', 'i', 'm']716",2015,2019,236,20,8
143,"22['Y', 'y', 'k']324",2018,2022,411,3,5
144,"68['O', 'i', 'G']854",2022,2026,407,35,12
145,"68['e', 'c', 'W']176",2019,2023,500,11,20
146,"53['p', 'J', 'A']260",2015,2019,150,37,28
147,"50['M', 'i', 'B']915",2017,2021,909,14,23
148,"93['T', 'C', 'h']222",2016,2020,461,14,25
149,"13['v', 'G', 'Z']998",2018,2022,46,18,20
150,"87['Q', 'Z', 's']546",2021,2025,947,11,7
151,"50['O', 'p', 'r']365",2021,2025,302,27,31
152,"35['l', 'l', 'f']572",2020,2024,884,29,27
153,"2['U', 'P', 'j']607",2020,2024,5,31,39
154,"96['V', 'j', 'n']949",2017,2021,263,42,36
155,"53['Y', 'u', 'b']518",2022,2026,476,11,26
156,"95['o', 'I', 'J']105",2017,2021,377,30,15
157,"14['u', 'w', 'h']431",2015,2019,511,46,8
158,"6['J', 'u', 'I']704",2020,2024,489,1,28
159,"57['t', 'W', 'y']417",2020,2024,209,2,26
160,"46['N', 'G', 'T']937",2015,2019,141,17,35
161,"95['m', 'j', 'G']883",2018,2022,182,11,23
162,"83['w', 'o', 'g']207",2019,2023,512,31,1
163,"68['K', 'e', 'V']119",2018,2022,376,38,33
