id,name,info,module_sequence_number,theory_practical,duration_minutes,course_code
1,Module 1: Future-proofed even-keeled software,Travel red fast rule edge program exactly bar. Ok region land general. Phone listen professor. Pretty TV operation we.,3,T,45,20
2,Module 2: Synergized optimizing parallelism,"Girl forward people likely. Party school yes.
Note reduce value challenge admit challenge. Police board country. Light save enjoy.",3,P,120,21
3,Module 3: Ergonomic methodical open system,"Whole go cut rise into huge clear. The father partner face soon.
Local two detail brother dark collection candidate. Raise charge central will itself leave different. While off animal wind plant age.",8,P,45,25
4,Module 4: Robust bi-directional hub,"Option group born he choice member. Approach recently billion project book increase ahead. Often he also discover bag civil.
High natural military.",2,T,45,19
5,Module 5: Expanded needs-based standardization,"Factor information station least occur move say.
Remember image team nature. We economy result.
Citizen idea walk teach. Inside college growth. Start year daughter born remain three we garden.",5,P,30,1
6,Module 6: Customizable bandwidth-monitored interface,Memory police either up reach team chair. Wall often few series only trouble green. Later official sell thought.,2,P,120,28
7,Module 7: Optimized system-worthy Internet solution,"Tend relate month. Off center nearly we cover. Forget employee certainly office party day born.
Money front send cover. Paper example from particularly. Free force spring able knowledge.",3,T,90,6
8,Module 8: Total well-modulated frame,"Stay receive else particularly hotel charge amount. Inside television early all pass little size.
Candidate social lose everyone. Nice sound management clear little police trip.",5,P,60,10
9,Module 9: Fully-configurable multi-state database,"Five without student generation explain figure decide design.
Military fact save report election people. Explain similar notice. Opportunity world available age.
Real describe far.",4,T,30,8
10,Module 10: Synchronized 3rdgeneration monitoring,"Eye thousand out human energy practice involve. Likely them office personal from late.
Despite economic her onto. System expect yes series course.",9,P,45,17
11,Module 11: Horizontal directional conglomeration,"Four growth budget someone television could. These student television.
No training environmental baby wide.
Little fact during physical current chance doctor. Not common its teacher.",6,P,30,29
12,Module 12: Versatile scalable framework,Pass create end wish candidate production easy. Indeed require full top term remember. Cover Republican international present red. Wife turn daughter hard.,9,T,120,7
13,Module 13: Cloned motivating moderator,"Prove stage accept station. Outside because establish understand side say billion. Church give add discussion.
Safe forward strong site.",8,T,60,3
14,Module 14: Right-sized intangible approach,Should central daughter while focus. Full mean rather today enter single save. Police tonight statement political if. Member rate simply along everybody edge dinner.,3,P,120,5
